FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60811c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.41	 11.64	 20.79	 24.51	 -0.37	  0.48	  0.00		  0.00		 0.848	
m60811c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.52	 14.91	 26.05	 30.86	 -4.01	 -1.39	  0.00		  0.00		 0.844	
m60811c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.04	  1.26	 24.83	 25.24	  2.10	  5.63	  0.00		  0.00		 0.984	
m60811c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.24	 21.57	 30.05	 25.90	  0.14	  0.61	  0.00		  0.00		 1.160	
m60811c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.28	  7.50	 22.87	 28.41	  3.40	  3.64	  0.00		  0.00		 0.805	
m60815c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.52	  4.68	 30.73	 21.01	  6.16	 -3.13	  0.00		  0.00		 1.463	
m60815c2r1.htb	 150.0	  0.03	 2.000	  8.00	 -10.00	 40.00	  7.20	  9.89	 36.77	 39.47	  7.76	 -4.75	  8.00		 -10.00		 0.932	
m60815c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.32	  8.34	 43.49	 32.03	 -4.08	  5.00	  0.00		  0.00		 1.358	
m60821c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.17	  3.06	 21.65	 26.30	  0.01	 -5.35	  0.00		  0.00		 0.823	
m60821c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.30	  4.48	 19.55	 26.04	 -1.83	 -4.81	  0.00		  0.00		 0.751	
m60821c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.80	  8.01	 39.10	 40.81	 -3.36	  4.21	  0.00		  0.00		 0.958	
m60822c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.16	  7.25	 36.98	 34.94	 -5.01	 -5.25	  0.00		  0.00		 1.059	
m60822c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	  9.80	 29.66	 26.23	 -4.97	 -0.91	  0.00		  0.00		 1.131	
m60823c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.52	 21.49	 18.04	 19.43	  5.01	  2.86	  0.00		  0.00		 0.928	
m60823c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.66	  9.42	 48.83	 30.20	  0.34	  1.50	  0.00		  0.00		 1.617	
m60823c3r1.htb	  70.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.78	 11.64	 25.75	 28.19	 -3.23	 -1.44	  0.00		  0.00		 0.913	
m60823c4r1.htb	  70.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.18	  9.46	 47.75	 55.45	 -3.91	 11.17	  0.00		  0.00		 0.861	
m60824c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.33	 12.62	 26.85	 27.64	 -2.72	  4.66	  0.00		  0.00		 0.971	
m60824c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.13	 16.52	 41.84	 42.61	 -3.16	  2.43	  0.00		  0.00		 0.982	
m60824c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.61	  7.14	 29.57	 37.31	  4.88	 -0.75	  0.00		  0.00		 0.792	
m60830c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.38	  6.01	 40.72	 37.57	 -4.19	 -7.93	  0.00		  0.00		 1.084	
m60830c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.04	  8.34	 34.74	 37.97	 -0.59	 -11.10	  0.00		  0.00		 0.915	
m60831c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  6.42	 46.71	 35.13	  6.99	 -1.21	  0.00		  0.00		 1.329	
m60831c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.19	  4.65	 33.73	 60.36	  7.34	  0.63	  0.00		  0.00		 0.559	
m60901c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.12	 12.42	 47.13	 35.41	  0.55	  2.56	  0.00		  0.00		 1.331	
m60907c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  4.18	 28.84	 19.97	  7.71	  3.76	  0.00		  0.00		 1.444	
m60907c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.44	  7.13	 21.24	 25.47	  6.42	 -5.02	  0.00		  0.00		 0.834	
m60907c3r1.htb	 120.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.28	  2.50	 59.77	 44.51	 -3.76	 -14.05	  0.00		  0.00		 1.343	
m61024c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  5.79	 91.93	 47.76	  6.61	  4.19	  0.00		  0.00		 1.925	
m61024c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.53	  3.09	 61.41	 26.64	 11.79	  7.06	  0.00		  0.00		 2.305	
m61027c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 18.59	 29.83	 36.35	 23.30	  9.58	 -2.39	  0.00		  0.00		 1.560	
m61027c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.11	 12.39	 50.19	 17.97	  7.87	 -0.55	  0.00		  0.00		 2.793	
m61106c4r1.htb	 120.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.75	 18.36	 37.62	 14.72	  2.38	 -2.74	  0.00		  0.00		 2.555	
m61108c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.99	  6.64	 16.21	 13.57	 -0.23	 -12.47	  0.00		  0.00		 1.194	
m61108c5r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 14.82	 18.80	 34.66	 25.99	 -1.50	 -5.60	  0.00		  0.00		 1.334	
m61128c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.12	 35.30	 26.95	 21.59	  3.15	  0.30	  0.00		  0.00		 1.248	
m61201c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.03	 10.84	 33.16	 18.33	 -1.10	 -8.65	  0.00		  0.00		 1.809	
