FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60623c4r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.80	 16.05	 22.84	 23.77	  3.89	  0.95	  0.00		  0.00		 0.961	
m60626c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.08	 10.42	 31.15	 31.40	 -6.19	 -4.12	  0.00		  0.00		 0.992	
m60628c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.58	  5.61	 28.71	 17.19	 -3.82	 -3.83	  0.00		  0.00		 1.670	
m60703c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.22	  9.23	 33.58	 28.48	 11.25	  7.44	  0.00		  0.00		 1.179	
m60703c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.22	  9.23	 33.58	 28.49	 11.25	  7.44	  0.00		  0.00		 1.179	
m60703c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  3.99	 30.99	 24.88	 -0.61	 10.32	  0.00		  0.00		 1.246	
m60705c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.52	 23.58	 29.52	 15.33	 -0.72	 -3.65	  0.00		  0.00		 1.926	
m60705c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.45	  9.92	 29.45	 24.50	 -2.72	 -6.80	  0.00		  0.00		 1.202	
m60705c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.17	 17.61	 29.59	 21.47	  2.83	 -7.20	  0.00		  0.00		 1.378	
m60712c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.61	  4.18	 24.85	 18.30	  2.64	 -1.30	  0.00		  0.00		 1.358	
m60712c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.61	  4.18	 24.85	 18.30	  2.64	 -1.30	  0.00		  0.00		 1.358	
m60717c3r1.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.19	 24.83	 22.14	 25.16	 -4.91	 -4.43	  0.00		  0.00		 0.880	
m60814c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.05	  8.87	 21.91	 18.22	  8.59	 -6.77	  0.00		  0.00		 1.203	
m60814c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.16	 14.45	 34.85	 31.90	 -0.51	  1.56	  0.00		  0.00		 1.093	
m60814c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.58	  4.63	 32.94	 21.39	 -4.54	  8.90	  0.00		  0.00		 1.540	
m60814c4r1.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	  9.21	  8.07	 61.98	 30.42	 -0.80	  2.67	 -10.00		 10.00		 2.037	
m60822c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.09	  7.39	 20.62	 20.32	 -2.97	  0.04	  0.00		  0.00		 1.014	
m60822c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  8.36	 32.13	 33.14	 -1.27	  0.91	  0.00		  0.00		 0.970	
m61117c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  6.57	 15.38	 15.67	  3.72	 -5.74	  0.00		  0.00		 0.981	
m61117c2r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.58	  8.45	 37.34	 31.49	  4.05	  4.91	  0.00		  0.00		 1.186	
m61117c3r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.83	  5.50	 47.68	 45.80	 -0.80	  2.15	  0.00		  0.00		 1.041	
