FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m70412c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.71	  3.02	 14.40	 46.21	 -19.97	  8.56	  0.00		  0.00		 0.312	
m70412c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.01	 -0.14	 26.14	 22.96	 27.22	 29.98	  0.00		  0.00		 1.138	
m70417c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.78	  4.27	 45.05	 49.75	 -3.12	 -14.09	  0.00		  0.00		 0.906	
m70417c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  9.69	 17.37	 60.69	 43.43	 14.86	 -10.86	  0.00		  0.00		 1.397	
m70417c3r1.htb	   0.0	  0.03	 8.000	  0.00	  0.00	 40.00	  1.27	  1.74	 36.53	 73.68	  5.10	 -30.00	  0.00		  0.00		 0.496	
m70418c1r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  1.95	 -1.69	 240.00	 16.30	 30.00	 20.82	  0.00		  0.00		 14.723	
m70418c2r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  1.44	  5.27	 79.36	 33.36	 10.49	 -11.14	  0.00		  0.00		 2.379	
m70418c3r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  3.16	  3.14	 138.45	 46.90	 16.67	 -11.36	  0.00		  0.00		 2.952	
m70419c1r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  2.64	 13.49	 54.52	 51.17	  5.47	 -7.91	  0.00		  0.00		 1.066	
m70419c2r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  8.21	 26.64	 71.67	 58.15	  1.32	 -14.21	  0.00		  0.00		 1.233	
m70419c4r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  3.60	  6.73	 60.25	 88.64	 11.44	 -30.00	  0.00		  0.00		 0.680	
