FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60606c2r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60606c3r2.htb	  90.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   0.0	 0.9680	 996.0000		 0.0000	   1.0	
m60606c3r2.htb	  90.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   1.0	 0.5540	 996.0000		 0.0000	   0.0	
m60606c4r2.htb	  90.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   0.0	 0.1220	 996.0000		 0.0000	   0.0	
m60606c4r2.htb	  90.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   1.0	 0.1120	 996.0000		 0.0000	   0.0	
m60606c5r2.htb	  90.0	  0.03	 2.000	  8.00	  0.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   0.0	
m60606c5r2.htb	  90.0	  0.03	 2.000	  8.00	  0.00	 40.00	   1.0	 0.1270	 996.0000		 0.0000	   0.0	
m60613c5r2.htb	   0.0	  0.03	 2.000	 -8.00	 -15.00	 30.00	   0.0	 0.4470	 996.0000		 0.0000	   1.0	
m60613c5r2.htb	   0.0	  0.03	 2.000	 -8.00	 -15.00	 30.00	   1.0	 0.3800	 996.0000		 0.0000	   0.0	
m60613c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 30.00	   0.0	 0.1250	 996.0000		 0.0000	   0.0	
m60613c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 30.00	   1.0	 0.1060	 996.0000		 0.0000	   0.0	
m60614c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   0.0	 0.1250	 996.0000		 0.0000	   0.0	
m60614c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   1.0	 0.1240	 996.0000		 0.0000	   0.0	
m60614c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 30.00	   0.0	 0.4730	 996.0000		 0.0000	   0.0	
m60614c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 30.00	   1.0	 0.2400	 996.0000		 0.0000	   0.0	
m60614c3r2.htb	   0.0	  0.03	 2.000	  8.00	 -15.00	 30.00	   0.0	 0.2080	 996.0000		 0.0000	   0.0	
m60614c3r2.htb	   0.0	  0.03	 2.000	  8.00	 -15.00	 30.00	   1.0	 0.1280	 996.0000		 0.0000	   0.0	
m60614c4r2.htb	   0.0	  0.03	 2.000	  8.00	 -18.00	 30.00	   0.0	 0.4290	 996.0000		 0.0000	   1.0	
m60614c4r2.htb	   0.0	  0.03	 2.000	  8.00	 -18.00	 30.00	   1.0	 0.1320	 996.0000		 0.0000	   1.0	
m60615c1r2.htb	   0.0	  0.03	 2.000	 -8.00	 -17.00	 30.00	   0.0	 0.1200	 996.0000		 0.0000	   0.0	
m60615c1r2.htb	   0.0	  0.03	 2.000	 -8.00	 -17.00	 30.00	   1.0	 0.1040	 996.0000		 0.0000	   0.0	
m60615c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -17.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   0.0	
m60615c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -17.00	 40.00	   1.0	 0.1360	 996.0000		 0.0000	   0.0	
m60616c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 30.00	   0.0	 0.1320	 996.0000		 0.0000	   0.0	
m60616c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 30.00	   1.0	 0.1130	 996.0000		 0.0000	   0.0	
m60616c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 30.00	   0.0	 0.1220	 996.0000		 0.0000	   0.0	
m60616c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 30.00	   1.0	 0.1410	 996.0000		 0.0000	   0.0	
m60619c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1830	 996.0000		 0.0000	   1.0	
m60619c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1960	 996.0000		 0.0000	   1.0	
m60619c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   0.0	 0.1200	 996.0000		 0.0000	   0.0	
m60619c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   1.0	 0.1220	 996.0000		 0.0000	   0.0	
m60619c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1170	 996.0000		 0.0000	   1.0	
m60619c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1220	 996.0000		 0.0000	   0.0	
m60619c4r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 40.00	   0.0	 0.1420	 996.0000		 0.0000	   0.0	
m60619c4r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 40.00	   1.0	 2.0140	 996.0000		 0.0000	   1.0	
m60620c1r2.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.2250	 996.0000		 0.0000	   0.0	
m60620c1r2.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 40.00	   1.0	 0.1530	 996.0000		 0.0000	   1.0	
m60620c2r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   0.0	 0.1930	 996.0000		 0.0000	   0.0	
