FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60626c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1220	 996.0000		 0.0000	   1.0	
m60626c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1220	 996.0000		 0.0000	   0.0	
m60628c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 0.1640	 996.0000		 0.0000	   1.0	
m60628c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   0.0	
m60629c3r2.htb	   0.0	  0.03	 2.000	  8.00	 -12.00	 40.00	   0.0	 0.1860	 996.0000		 0.0000	   0.0	
m60629c3r2.htb	   0.0	  0.03	 2.000	  8.00	 -12.00	 40.00	   1.0	 0.1490	 996.0000		 0.0000	   0.0	
m60629c4r2.htb	   0.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   0.0	 0.1220	 996.0000		 0.0000	   1.0	
m60629c4r2.htb	   0.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   1.0	 0.1110	 996.0000		 0.0000	   0.0	
m60719c2r2.htb	 170.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.6240	 996.0000		 0.0000	   1.0	
m60719c2r2.htb	 170.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.1630	 996.0000		 0.0000	   0.0	
m60719c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 0.2520	 996.0000		 0.0000	   0.0	
m60719c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1500	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1800	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1500	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1800	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1500	 996.0000		 0.0000	   0.0	
m60720c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1800	 996.0000		 0.0000	   0.0	
m60720c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.1320	 996.0000		 0.0000	   0.0	
m60720c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.1160	 996.0000		 0.0000	   0.0	
m60720c3r2.htb	   0.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   0.0	 0.2310	 996.0000		 0.0000	   0.0	
m60720c3r2.htb	   0.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60721c4r2.htb	  90.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   0.0	 0.1450	 996.0000		 0.0000	   0.0	
m60721c4r2.htb	  90.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   1.0	 0.1230	 996.0000		 0.0000	   0.0	
m60721c5r2.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 40.00	   0.0	 0.1390	 996.0000		 0.0000	   0.0	
m60721c5r2.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 40.00	   1.0	 0.1240	 996.0000		 0.0000	   0.0	
m60801c1r2.htb	   0.0	  0.03	 2.000	 -10.00	  5.00	 40.00	   0.0	 0.2180	 996.0000		 0.0000	   0.0	
