FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60724c3r2.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1290	 996.0000		 0.0000	   0.0	
m60724c4r2.htb	 150.0	  0.03	 2.000	  0.00	 -3.00	 40.00	   0.0	 0.2070	 996.0000		 0.0000	   0.0	
m60724c4r2.htb	 150.0	  0.03	 2.000	  0.00	 -3.00	 40.00	   1.0	 2.0170	 996.0000		 0.0000	   1.0	
m60724c5r2.htb	 150.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 0.1940	 996.0000		 0.0000	   1.0	
m60724c5r2.htb	 150.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   1.0	
m60724c6r2.htb	 150.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 1.8820	 996.0000		 0.0000	   0.0	
m60724c6r2.htb	 150.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 0.1740	 996.0000		 0.0000	   1.0	
m60725c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -8.00	 40.00	   0.0	 0.1600	 996.0000		 0.0000	   0.0	
m60725c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -8.00	 40.00	   1.0	 0.2170	 996.0000		 0.0000	   1.0	
m60725c2r2.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 40.00	   0.0	 0.2730	 996.0000		 0.0000	   1.0	
m60725c2r2.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 40.00	   1.0	 0.1150	 996.0000		 0.0000	   0.0	
m60726c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.1890	 996.0000		 0.0000	   0.0	
m60726c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.2170	 996.0000		 0.0000	   0.0	
m60726c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   0.0	 0.1940	 996.0000		 0.0000	   0.0	
m60726c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   1.0	 0.2200	 996.0000		 0.0000	   0.0	
m60726c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1450	 996.0000		 0.0000	   0.0	
m60726c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.2060	 996.0000		 0.0000	   0.0	
m60726c4r2.htb	   0.0	  0.03	 2.000	  3.00	 -5.00	 40.00	   0.0	 0.3460	 996.0000		 0.0000	   0.0	
m60726c4r2.htb	   0.0	  0.03	 2.000	  3.00	 -5.00	 40.00	   1.0	 0.4550	 996.0000		 0.0000	   1.0	
m60726c5r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   0.0	 0.1730	 996.0000		 0.0000	   0.0	
m60726c5r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   1.0	 0.3370	 996.0000		 0.0000	   0.0	
m60726c6r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1850	 996.0000		 0.0000	   0.0	
m60726c6r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1840	 996.0000		 0.0000	   0.0	
m60727c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1550	 996.0000		 0.0000	   0.0	
m60727c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1630	 996.0000		 0.0000	   0.0	
m60727c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.3030	 996.0000		 0.0000	   1.0	
m60727c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.2500	 996.0000		 0.0000	   0.0	
m60801c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1680	 996.0000		 0.0000	   1.0	
m60801c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.4990	 996.0000		 0.0000	   1.0	
m60801c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1270	 996.0000		 0.0000	   0.0	
m60801c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1390	 996.0000		 0.0000	   1.0	
m60803c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   0.0	 0.1230	 996.0000		 0.0000	   0.0	
m60803c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   1.0	 0.1310	 996.0000		 0.0000	   0.0	
m60803c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1390	 996.0000		 0.0000	   0.0	
m60803c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1730	 996.0000		 0.0000	   1.0	
