FILE		       PrDir	 PrSpd	 PrHDsp	 RFX	       RFY	      RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP	 Rmeans	 Pmeans	  Rraw	 Praw		 SDI	       VarTrm	  R0	         K	       alpha	tau		 expon	Chi2		 ChiP		  Npts	   Npars	 FitErr	
m60629c2r8.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  40.00	   0.0	  18.81	 14.400	  24.38	  0.000	  18.42	  12.04	  0.227	 0.00219801	  0.976	 0.00000062	  0.244	 0.00000076	 0.4253	  0.409	  19.35	   5.03	  0.0776313	  0.9281622	  1.0462974	  0.05938	 0.99958142	     90	      5	 13.6873	
m60630c1r8.htb	    0.0	  20.00	  0.000	   0.00	  -8.00	  60.00	   0.0	   6.40	 29.450	   9.62	  0.000	   6.13	   5.07	  0.436	 0.00104928	  0.736	 0.00307217	  0.135	 0.00001214	 0.4248	  0.552	   2.95	   6.67	  0.0381247	 -14.3153834  1.6676773	  0.45892	 0.97737457	    135	      5	 40.4113	
m60630c2r8.htb	  180.0	  20.00	  0.000	   0.00	  10.00	  50.00	   0.0	  10.05	 20.900	  13.97	  0.000	   9.52	   7.50	  0.384	 0.00198854	  0.745	 0.00271747	  0.128	 0.00001991	 0.4306	  0.572	   9.90	   4.07	  0.0339686	  0.5352863	  0.6922016	  0.40760	 0.98186341	    135	      5	 43.2593	
m60706c1r8.htb	    0.0	  20.00	  0.000	  10.00	   0.00	  60.00	   0.0	  12.27	 10.950	  13.96	 64.000	  10.91	   9.88	  0.236	 0.69638212	  0.821	 0.00075810	  0.083	 0.02867933	 0.3262	  0.479	  10.53	   3.43	  0.0684241	 -1.7120568	  0.8670887	  0.74950	 0.94508672	     58	      5	 11.3872	
m60706c2r8.htb	    0.0	  20.00	  0.000	   0.00	 -10.00	  40.00	   0.0	  10.65	 21.800	  15.41	  1.500	  10.25	   5.77	  0.313	 0.13525709	  0.828	 0.00066266	  0.113	 0.00116815	 0.3870	  0.488	  10.25	   5.16	  0.5214594	  1.7508988	 10.4672144	  0.23310	 0.99371358	     90	      5	 19.8019	
m60706c3r8.htb	    0.0	  20.00	  0.000	  -5.00	 -10.00	  40.00	   0.0	  18.86	  9.850	  26.31	  0.300	  19.52	  15.97	  0.296	 0.01125330	  0.845	 0.00045746	  0.177	 0.00003585	 0.4525	  0.483	  19.52	   6.79	  0.6376469	  0.3101508	  6.0821186	  0.78156	 0.94090238	     90	      5	 19.6511	
m60706c4r8.htb	    0.0	  20.00	  0.000	  10.00	 -10.00	  40.00	   0.0	   3.08	  7.550	   4.04	 64.000	   2.51	   2.34	  0.446	 0.18925583	  0.588	 0.01594172	  0.074	 0.00970812	 0.3719	  0.468	   2.51	   1.53	  0.9690861	 -20.0000000  26.6919915  0.36074	 0.98556351	     90	      5	 18.8317	
m60711c2r8.htb	    0.0	  20.00	  0.000	  -5.00	   8.00	  40.00	   0.0	  22.99	  4.650	  29.10	  0.000	  21.61	  14.23	  0.238	 0.00234982	  0.822	 0.00074354	  0.204	 0.00000785	 0.4444	  0.455	  27.69	   1.41	  0.3742085	  1.9977255	  0.9954694	  0.69039	 0.95250903	     90	      5	 17.7466	
m60712c2r8.htb	  300.0	  20.00	  0.000	  -5.00	   5.00	  40.00	   0.0	   5.97	 64.000	  14.11	  0.000	   5.91	   6.57	  0.614	 0.00001080	  0.955	 0.00000564	  0.342	 0.00000000	 0.5546	  0.572	   5.91	  14.25	  0.0007606	  0.0000000	  0.4289391	  0.14237	 0.99758357	     90	      5	 26.9718	
m60713c1r8.htb	    0.0	  20.00	  0.000	   8.00	   0.00	  60.00	   0.0	   0.13	 41.550	   1.49	  0.000	   0.07	   0.07	  0.902	 0.00000000	  0.978	 0.00000048	  0.438	 0.00000000	 0.5381	  0.403	   0.07	   1.42	  0.1654329	  1.0002914	  6.7103447	  0.25787	 0.99236880	    135	      5	 20.9328	
m60713c2r8.htb	    0.0	  20.00	  0.000	 -10.00	  10.00	  60.00	   0.0	   0.60	 50.250	   1.61	  0.000	   0.64	   0.85	  0.636	 0.03383348	  0.523	 0.02762946	  0.094	 0.00325411	 0.4125	  0.472	   0.63	   0.98	  0.0815997	 -4.5263110	  4.4709453	  1.46621	 0.83261009	     90	      5	 20.6002	
m60713c3r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   3.18	 23.200	   4.45	 64.000	   2.62	   1.89	  0.578	 0.18958548	  0.668	 0.00717797	  0.167	 0.00526194	 0.4797	  0.393	   2.36	   2.09	  0.1723561	 -20.0000000  7.4496771	  2.59879	 0.62703702	     45	      5	 6.4703	
m60714c1r8.htb	    0.0	  20.00	  0.000	   5.00	   3.00	  40.00	   0.0	   1.94	  3.600	   2.76	  0.000	   1.77	   1.79	  0.350	 0.84578012	  0.786	 0.00144502	  0.038	 0.06677758	 0.2849	  0.459	   2.27	   0.49	  1.0662119	  0.7923963	  3.0062429	  0.22638	 0.99405766	     90	      5	 17.4598	
m60714c2r8.htb	    0.0	  20.00	  0.000	  -5.00	  -8.00	  40.00	   0.0	   1.29	 64.000	   2.03	  0.000	   1.27	   0.45	  0.467	 0.41427223	  0.842	 0.00048579	  0.078	 0.00753498	 0.3127	  0.420	   1.27	   1.57	  0.0222853	 -4.9527891	  3.2532826	  0.10725	 0.99861262	     90	      5	 14.4472	
m60714c3r8.htb	    0.0	  20.00	  0.000	  -8.00	   0.00	  40.00	   0.0	  16.45	 18.700	  32.96	  0.000	  16.33	  13.43	  0.510	 0.00000000	  0.992	 0.00000002	  0.601	 0.00000000	 0.6687	  0.433	  16.33	  16.63	  0.0279006	  0.0000009	  0.5220906	  0.08842	 0.99905113	    135	      5	 23.8110	
m60714c4r8.htb	  120.0	  20.00	  0.000	  -5.00	   8.00	  60.00	   0.0	   8.81	 64.000	   9.63	  0.000	   8.42	   6.32	  0.245	 0.76484347	  0.321	 0.11156398	  0.018	 0.20331762	 0.3260	  0.446	   8.42	   3.58	  0.4677231	  0.2778586	 38.2076627	  0.44490	 0.97863821	     90	      5	 16.8983	
m60717c1r8.htb	   30.0	  20.00	  0.000	  -8.00	  -8.00	  40.00	   0.0	   3.18	 64.000	   5.52	  0.000	   2.94	   1.33	  0.492	 0.00068764	  0.841	 0.00049524	  0.159	 0.00000162	 0.3981	  0.500	   1.30	   4.53	  0.0010918	 -0.3133045	  0.1906564	  0.39092	 0.98321393	    135	      5	 32.6426	
m60717c2r8.htb	  150.0	  20.00	  0.000	   8.00	 -10.00	  40.00	   0.0	   5.12	 49.650	   6.71	  0.000	   4.41	   1.34	  0.462	 0.08796989	  0.572	 0.01828113	  0.087	 0.00486600	 0.4145	  0.483	   4.41	   2.30	  0.1199440	 -4.2624414	  6.4684799	  0.82954	 0.93444460	     90	      5	 20.4581	
m60719c1r8.htb	  170.0	  20.00	  0.000	   5.00	 -10.00	  20.00	   0.0	   5.67	  5.400	   9.42	  0.000	   4.82	   2.09	  0.421	 0.10378365	  0.769	 0.00191316	  0.112	 0.00125038	 0.3652	  0.696	   7.00	   2.41	  0.2304605	  1.1103401	  0.9939280	  0.26039	 0.99222591	     90	      5	 40.6308	
m60719c4r8.htb	   30.0	  20.00	  0.000	  -5.00	  10.00	  40.00	   0.0	   4.68	 50.250	  11.16	  0.000	   4.82	   3.18	  0.548	 0.00000000	  0.995	 0.00000000	  0.523	 0.00000000	 0.5769	  0.394	   4.78	   6.38	  0.1316248	 -20.0000000  9.2436439	  0.08104	 0.99920082	     90	      5	 12.7079	
m60719c4r8.htb	   30.0	  20.00	  0.000	  -5.00	  10.00	  40.00	   0.0	   4.68	 50.250	  11.16	  0.000	   4.82	   3.18	  0.548	 0.00000000	  0.995	 0.00000000	  0.523	 0.00000000	 0.5769	  0.394	   4.78	   6.38	  0.1316304	 -20.0000000  9.2439845	  0.08105	 0.99920066	     90	      5	 12.7079	
m60721c1r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	  11.69	 26.100	  20.68	  0.000	  11.15	   6.52	  0.475	 0.00003882	  0.878	 0.00019514	  0.293	 0.00000004	 0.5215	  0.603	   4.79	  15.90	  0.0097353	 -0.2777649	  0.2569647	  0.76122	 0.94356985	     90	      5	 30.8895	
m60721c1r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	  11.69	 26.100	  20.68	  0.000	  11.15	   6.52	  0.475	 0.00003882	  0.878	 0.00019514	  0.293	 0.00000004	 0.5215	  0.603	   4.79	  15.90	  0.0097352	 -0.2777639	  0.2569631	  0.76121	 0.94357179	     90	      5	 30.8895	
m60721c2r8.htb	    0.0	  20.00	  0.000	   8.00	  -5.00	  40.00	   0.0	  15.42	  9.400	  22.87	  0.000	  15.33	   7.41	  0.361	 0.00000004	  0.691	 0.00551726	  0.310	 0.00000001	 0.5782	  0.362	  15.32	   7.55	  0.0304543	  0.0000000	  0.2861712	  2.51752	 0.64150157	     90	      5	 13.2775	
m60721c3r8.htb	    0.0	  20.00	  0.000	  -5.00	   0.00	  40.00	   0.0	  10.45	 42.650	  15.24	  2.150	   8.86	   2.64	  0.430	 0.00000146	  0.797	 0.00119318	  0.313	 0.00000001	 0.4835	  0.506	   8.86	   6.37	  0.0413850	  2.1730714	  1.6748602	  1.40375	 0.84358506	     90	      5	 23.1533	
m60724c1r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   8.33	 20.150	   9.87	 64.000	   7.20	   5.61	  0.289	 0.03225465	  0.785	 0.00146989	  0.096	 0.00025728	 0.3887	  0.405	   5.49	   4.38	  0.0662453	 -20.0000000  2.6599979	  0.26761	 0.99180826	    135	      5	 21.2718	
