FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 AnovaP	 MSgrp	 MSerror	 MaxX 	 MinX 	
m60124c4r7.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   1.0	 64.00	 14.53	  4.78	  2.40	  5.63	  3.90	 0.00000133	      2.922	      0.263	 64.00	  1.00	
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   0.0	 56.44	  0.45	  4.78	 -0.02	  0.15	  0.00	 0.01759513	      0.281	      0.100	 64.00	  1.00	
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   1.0	 64.00	  0.25	  2.26	 -0.00	  0.09	  0.00	 0.29449235	      0.095	      0.076	 64.00	  1.00	
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   0.0	 56.44	  0.45	  4.78	 -0.02	  0.15	  0.00	 0.01759513	      0.281	      0.100	 64.00	  1.00	
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   1.0	 64.00	  0.25	  2.26	 -0.00	  0.09	  0.00	 0.29449235	      0.095	      0.076	 64.00	  1.00	
m60201c2r6.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 64.00	 28.91	  1.00	 13.68	 20.30	 15.37	 0.00000000	      5.412	      0.201	 64.00	  1.00	
m60201c2r6.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 43.21	 32.43	  1.00	 15.37	 21.37	 15.37	 0.00000000	      5.250	      0.209	 64.00	  1.00	
m60201c2r6.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 64.00	 28.91	  1.00	 13.68	 20.30	 15.37	 0.00000000	      5.412	      0.201	 64.00	  1.00	
m60201c2r6.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 43.21	 32.43	  1.00	 15.37	 21.37	 15.37	 0.00000000	      5.250	      0.209	 64.00	  1.00	
m60201c3r9.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   0.0	 29.35	 27.92	  2.89	  5.07	 15.01	  6.14	 0.00000000	     12.202	      0.480	 64.00	  1.00	
